Country,E-Government_Index,E-Participation_Index
Afghanistan,0.12760100669632826,0.1096
Albania,0.7924362949979777,0.726
Algeria,0.5627387533144578,0.0548
Andorra,0.668071097928183,0.5479
Angola,0.3597254055997484,0.2192
Antigua and Barbuda,0.6158374904498674,0.3425
Argentina,0.856849130376163,0.6301
Armenia,0.8398161880364928,0.8493
Australia,0.9696193429508787,0.863
Austria,0.9121275448294458,0.7808
Azerbaijan,0.7483146824861805,0.4932
Bahamas,0.6961934295087862,0.3151
Bahrain,0.9267898071996764,0.9041
Bangladesh,0.6317244168801402,0.6164
Barbados,0.659296211406229,0.3288
Belarus,0.7300683115365602,0.4932
Belgium,0.80605366050964,0.5068
Belize,0.4409801806660375,0.2329
Benin,0.4079479573951732,0.3699
Bhutan,0.6251404431261517,0.4932
Bolivia,0.6408476023549504,0.4247
Bosnia and Herzegovina,0.6047256303087502,0.5479
Botswana,0.5809626533638937,0.274
Brazil,0.8376702170688959,0.863
Brunei Darussalam,0.7422812457867063,0.4658
Bulgaria,0.8087614039818436,0.6712
Burkina Faso,0.21882162599433733,0.2192
Burundi,0.17229562716282412,0.2192
Cabo Verde,0.5944451934744506,0.5479
Cambodia,0.5400431441283537,0.3151
Cameroon,0.37599433733315357,0.4247
Canada,0.8431755876140399,0.9178
Central African Republic,0.0,0.0822
Chile,0.88530852545953,0.8356
China,0.8731517684598445,0.9315
Colombia,0.7691789133072672,0.7397
Comoros,0.1841714979102063,0.0
Costa Rica,0.7934362500561774,0.726
Croatia,0.8842860995011461,0.9178
Cuba,0.4465417284616422,0.0548
Cyprus,0.8619500247179903,0.6986
Czech Republic,0.8193339625185385,0.589
Democratic Republic of the Congo,0.19863152217877852,0.2466
Denmark,1.0000000000000002,0.9863
Djibouti,0.2206080625589861,0.0959
Dominica,0.5053930160442227,0.3014
Dominican Republic,0.6815086962383713,0.6575
Ecuador,0.76993168846344,0.8767
Egypt,0.6463080310997259,0.589
El Salvador,0.5663790391443081,0.3836
Eritrea,0.07069345197968632,0.0137
Estonia,0.9865174598894434,0.9589
Eswatini,0.5768504786301739,0.3836
Ethiopia,0.24312390454361602,0.1644
Fiji,0.6524875286503978,0.3973
Finland,0.9693496921486676,0.8904
France,0.8760505145836143,0.8082
Gabon,0.5386050065165611,0.1233
Gambia,0.1802952676284212,0.1781
Georgia,0.7691002651566222,0.5616
Germany,0.947721450721316,0.9726
Ghana,0.603332434497326,0.5342
Greece,0.8681295222686621,0.6712
Grenada,0.619151948227046,0.2466
Guatemala,0.5383241202642578,0.4658
Guinea,0.3436811828681857,0.5068
Guinea-Bissau,0.24000044941800366,0.2192
Guyana,0.5051683070423801,0.2192
Haiti,0.13139858882746844,0.0959
Honduras,0.4391825086512966,0.3014
Hungary,0.7972675385375939,0.5479
Iceland,0.9801469596872051,0.9589
India,0.6438587029796414,0.6575
Indonesia,0.791436339939778,0.7945
Iran,0.6310839962248889,0.1781
Iraq,0.40729630128982963,0.0959
Ireland,0.9202620106961484,0.9178
Israel,0.9063974652824592,0.6986
Italy,0.8324007909756865,0.6575
Jamaica,0.6438699384297335,0.4384
Japan,0.9442272257426633,0.9863
Jordan,0.6631499707878299,0.6164
Kazakhstan,0.9058356927778527,0.8493
Kenya,0.6030066064446542,0.5205
Kiribati,0.407318772190014,0.3288
Kuwait,0.7713136488247719,0.3014
Kyrgyzstan,0.7155858163678037,0.4658
Laos,0.38838703878477376,0.2877
Latvia,0.8881848006831154,0.7808
Lebanon,0.5058199631477238,0.4658
Lesotho,0.3568266594759786,0.2055
Liberia,0.175980854793043,0.1644
Libya,0.5077524605635702,0.0137
Lithuania,0.9171947328209967,0.8356
Luxembourg,0.8447710215271225,0.6301
Madagascar,0.25702215630758174,0.3014
Malawi,0.3153116713855557,0.4521
Malaysia,0.8049525864006112,0.6986
Maldives,0.6514651026920139,0.4795
Mali,0.23125926924632603,0.274
Malta,0.8919823828142556,0.7397
Mauritania,0.28585232124398907,0.1233
Mauritius,0.7369444069929442,0.411
Mexico,0.7755718844096895,0.7397
Moldova,0.7609208574895511,0.726
Mongolia,0.8437710664689229,0.7808
Montenegro,0.7037998292211587,0.5068
Morocco,0.6622286638802751,0.4384
Mozambique,0.21354096445103596,0.2055
Myanmar,0.45545144038470187,0.1644
Namibia,0.5685587164621816,0.274
Nepal,0.5431553638038741,0.2192
Netherlands,0.9652824592153163,0.9315
New Zealand,0.9346096804637994,0.9315
Nicaragua,0.4911127589771247,0.2329
Niger,0.13130870522673138,0.2055
Nigeria,0.43454226776324656,0.3699
North Macedonia,0.6879915509415307,0.5753
Norway,0.9402161700597725,0.863
Oman,0.8571412520785583,0.6575
Pakistan,0.46610264707204163,0.4932
Palau,0.46350725810075954,0.3014
Panama,0.7135746708013123,0.5205
Papua New Guinea,0.2391577906610939,0.1918
Paraguay,0.7082490674576424,0.6027
Peru,0.8003011100624692,0.7534
Philippines,0.7498764100489866,0.726
Poland,0.8652420115949846,0.7534
Portugal,0.8390971192305965,0.6438
Qatar,0.8198283223225923,0.4795
Republic of the Congo,0.2746168711518583,0.0822
Romania,0.7515841984629905,0.6849
Russia,0.8522650667385736,0.6438
Rwanda,0.5451777448204574,0.7534
Saint Kitts and Nevis,0.6020403577367309,0.2055
Saint Lucia,0.48398948361871375,0.137
Saint Vincent and the Grenadines,0.553817805941306,0.3425
Samoa,0.44402498764100495,0.3014
Sao Tome and Principe,0.37760100669632823,0.1644
Saudi Arabia,0.9724506763740955,0.9589
Senegal,0.4736303986337693,0.4247
Serbia,0.861916318367714,0.8904
Seychelles,0.6546110287178104,0.3014
Sierra Leone,0.23540515033032225,0.3288
Singapore,0.9824502269560919,0.9589
Slovakia,0.7948406813176936,0.6986
Slovenia,0.8777021257471574,0.7808
Solomon Islands,0.30718844096894526,0.3699
South Africa,0.861669138465687,0.8356
Spain,0.9279358231090739,0.8082
