Country,Adult_Literacy_Rate,Tertiary_Education_Enrollment
Afghanistan,0.12591003542756832,0.0
Albania,0.04788875900633638,0.010665034977391612
Algeria,0.034910512381420684,0.015011374848471044
Andorra,0.06952207352074578,0.33503166302582926
Angola,0.7350080243171244,0.36686736108497653
Antigua and Barbuda,0.0070073853703950684,0.0
Argentina,0.24538785125984108,0.08517928760257605
Armenia,0.30489248886292114,0.34429696065857934
Australia,0.05157818231512999,0.3932393886333568
Austria,0.20472324026581418,0.24888692182597277
Azerbaijan,0.03482271536771723,0.0454992984485054
Bahamas,0.16785299885986152,0.00021608646567899305
Bahrain,0.13830440696530688,0.006054332348543548
Bangladesh,0.16178149133592318,0.004812083017329687
Barbados,0.0027049310799285293,0.2881245736404845
Belarus,0.5079814624659186,0.09402880911056054
Belgium,0.22851455396775525,0.2917697256889241
Belize,0.16153763671920351,0.0
Benin,0.04493829313095384,0.06905530103722526
Bhutan,0.010471665554618856,0.00036000931124810737
Bolivia,0.06943520228716593,0.1276247975993955
Bosnia and Herzegovina,0.21056598432356163,0.07763698749149671
Botswana,0.07457533610786705,0.008432111514870161
Brazil,0.20559691841146074,0.17365933239966708
Brunei Darussalam,0.16265529316746274,0.015931284198283872
Bulgaria,0.38609429926070765,0.1884695960794109
Burkina Faso,0.24467999866549336,0.05936182467635052
Burundi,0.061738277292973605,0.017473589891547556
Cabo Verde,0.023416545227155715,0.018008555109745025
Cambodia,0.09138378195683645,0.2037188729024306
Cameroon,0.15223663793586972,0.0336245906476643
Canada,0.2149055763847925,0.2619205920631424
Central African Republic,0.16785299885986152,0.029362734940554334
Chile,0.09641053850838442,0.16755095901171346
China,0.2825756000152651,0.41527154929983406
Colombia,0.16788713337130926,0.13441966231167238
Comoros,0.1884425497940768,0.0032336762558487584
Costa Rica,0.23238618148107826,0.37790828133520116
Croatia,0.12362962614479002,0.1724593320164628
Cuba,0.16785299885986152,0.12309853206463976
Cyprus,0.4888403813784151,0.2894951195594824
Czech Republic,0.2911976370584996,0.35019141622771593
Democratic Republic of the Congo,0.0544005184543942,0.0031200082382309463
Denmark,0.12309433509072672,0.26878333894159884
Djibouti,0.15117308571152716,0.05119734693544872
Dominica,0.02988822980448781,0.04506682822900974
Dominican Republic,0.006363925345884998,0.09426578046121574
Ecuador,0.03637857782849312,0.11369911435612201
