Country,Secure_Internet_Servers_alt,Telecommunication_Infrastructure_Index
Afghanistan,0.110174072872743,0.21672
Albania,0.8172775435182182,0.77497
Algeria,0.7502432695426534,0.8129
Andorra,0.9502648935020004,0.92307
Angola,0.4031787220240026,0.37238
Antigua and Barbuda,0.7578116553140881,0.79426
Argentina,0.8832306195264354,0.84254
Armenia,0.7837604065304359,0.87824
Australia,0.9686452589469132,0.95092
Austria,0.9448589036652613,0.98096
Azerbaijan,0.8810682235917398,0.82034
Bahamas,0.9437777056979133,0.86522
Bahrain,1.0000000000000002,0.98773
Bangladesh,0.3999351281219592,0.6501
Barbados,0.7837604065304359,0.7624
Belarus,0.9080981727754354,0.91561
Belgium,0.9416153097632178,0.86984
Belize,0.7015893610120015,0.52917
Benin,0.26694777813817716,0.48171
Bhutan,0.8745810357876529,0.81695
Bolivia,0.6778030057303494,0.7089
Bosnia and Herzegovina,0.8205211374202619,0.77628
Botswana,0.7988971780733054,0.86495
Brazil,0.8291707211590444,0.80685
Brunei Darussalam,0.989188020326522,0.9868
Bulgaria,0.7880851983998272,0.91707
Burkina Faso,0.10260568710130827,0.36402
Burundi,0.0388150070277868,0.03305
Cabo Verde,0.7134825386528274,0.61278
Cambodia,0.5750891988323064,0.76094
Cameroon,0.37182398097091585,0.37004
Canada,0.935128121959131,0.80782
Central African Republic,0.0,0.0
Chile,0.9405341117958699,0.94553
China,0.7567304573467403,0.89954
Colombia,0.7545680614120447,0.80654
Comoros,0.3047897069953509,0.35368
Costa Rica,0.8421450967672183,0.89327
Croatia,0.8183587414855662,0.91799
Cuba,0.6896961833711753,0.53183
Cyprus,0.9048545788733919,0.89406
Czech Republic,0.8486322845713051,0.92043
Democratic Republic of the Congo,0.24856741269326418,0.15906
Denmark,0.9978376040653045,0.99662
Djibouti,0.6215807114282627,0.38402
Dominica,0.8248459292896531,0.67566
Dominican Republic,0.8334955130284356,0.7444
Ecuador,0.7534868634446968,0.68335
Egypt,0.704832954914045,0.69456
El Salvador,0.6507730565466538,0.75264
Eritrea,0.13504162612174292,0.14054
Estonia,0.9264785382203484,0.97309
Eswatini,0.5415720618445239,0.78511
Ethiopia,0.09936209319926478,0.26592
Fiji,0.7761920207590011,0.75067
Finland,0.9297221321223919,0.97909
France,0.8572818683100877,0.92281
Gabon,0.6961833711752624,0.8263
Gambia,0.4150718996648287,0.38766
