Country,R&D_Expenditure,Patent_Applications
Afghanistan,0.00018595088347026802,0.13706630722127366
Albania,0.00026315231510963506,0.36618544481894977
Algeria,0.008459474799328005,0.42871397729426564
Andorra,8.420963076513094e-06,0.6119191837592434
Angola,4.7789243562351724e-05,0.1970414522520022
Antigua and Barbuda,5.550938672628842e-06,0.917744263479155
Argentina,0.010145369405846882,0.5572809040163516
Armenia,0.0007267057528393274,0.5733357740025289
Australia,0.06930663970356608,0.4168833315803505
Austria,0.016168972175068907,0.5078164064371867
Azerbaijan,0.001304348222686217,0.41590548585779696
Bahamas,1.7487125437620323e-05,0.36980543056414805
Bahrain,0.0007448380775615419,0.6298196028678605
Bangladesh,0.007847113933494593,0.40708825666070847
Barbados,7.825822357102986e-05,0.4602743266648949
Belarus,0.0016879080732518333,0.5078854122476429
Belgium,0.019589885526740587,0.38827658567124923
Belize,1.747600131202387e-05,0.18939927053267658
Benin,0.0004579357543034848,0.42760490849808663
Bhutan,0.0001260029706309958,0.3495939971567146
Bolivia,0.0002068976119683845,0.37581649244873494
Bosnia and Herzegovina,0.0011539389204966086,0.4770663904233856
Botswana,0.0004345750905509386,0.7399228717087908
Brazil,0.07456341199892239,0.371758384083806
Brunei Darussalam,0.0004587033189696399,0.4763313597175032
Bulgaria,0.005319668101478635,0.47455450264447385
Burkina Faso,0.000455199219406758,0.44256034924784116
Burundi,2.8878230048385723e-05,0.1448652475068128
Cabo Verde,2.2226002941708275e-05,0.3736470933108965
Cambodia,0.00022378403462379644,0.46840668867337676
Cameroon,0.0016730684897061682,0.28243417553183137
Canada,0.07681190925748176,0.32929312488823004
Central African Republic,1.9789819436085592e-05,0.009554333497612616
Chile,0.010073718912880144,0.5705160589204693
China,1.0,0.5158141577505772
Colombia,0.01076967758257088,0.6871514141981008
Comoros,1.9022254769930511e-06,0.37922697983291154
Costa Rica,0.0007890676009330294,0.6663064336004201
Croatia,0.006350885668395202,0.43981567461005866
Cuba,0.0013743523450646807,0.1993182051750736
Cyprus,0.002074082093332615,0.6480845347027343
Czech Republic,0.01604454883027261,0.5353973300098596
Democratic Republic of the Congo,0.00026193978541962196,0.1026301046533919
Denmark,0.01793652898759133,0.5250817172003328
Djibouti,1.2381151788849504e-05,0.08037184369210887
Dominica,3.492975437285484e-06,0.2995062871550574
Dominican Republic,0.00011990694980414087,0.32464096852260693
Ecuador,0.003973470918298571,0.3621926637765437
Egypt,0.026723453547976454,0.3402450687689139
El Salvador,5.8690886646873294e-05,0.830405519856384
Eritrea,3.591980155093895e-05,0.09932993947785307
Estonia,0.002047150585263608,0.6829638035115988
Eswatini,4.578690095499061e-05,0.5008062457322521
