Country,Adult Literacy Rate,ICT Service Exports,R&D Expenditure,Journal Articles,Patent Applications,Mobile Subscriptions,Fixed Broadband Subscriptions,Secure Internet Servers (per million),Secure Internet Servers (alt),Internet Users,ICT Goods Imports,High-Tech Exports,Tertiary Education Enrollment,Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
Afghanistan,7.82851624017411,NONE,169.19,NONE,56.55443457,0.0800873,43.758544404586,1814.0,17.7,37.0,10.8584403991699,0.01,0.0,2024.0,Afghanistan,188.0,0.20827,0.1096,0.14379,0.2643,0.21672
Albania,3.01397608748124,0.154119998216629,238.59,23.0,97.88570679,22.472,1220.33290943972,3351.0,83.1,98.5,64.7293472290039,0.01,0.682326849473647,2024.0,Albania,62.0,0.8,0.726,0.81441,0.81059,0.77497
Algeria,2.21311390791552,0.478650003671646,7606.65,268.0,109.1653573,12.0087,100.294126063305,4630.0,76.9,81.4078369140625,55.5188903808594,0.03,0.960396672710236,2024.0,Algeria,116.0,0.59556,0.0548,0.332,0.64179,0.8129
Andorra,4.34892555438222,NONE,9.6,3.0,142.2141211,51.7401,14618.5811813595,1182.0,95.4,NONE,64.2772369384766,12.56,21.4346319155008,2024.0,Andorra,88.0,0.68931,0.5479,0.47804,0.66684,0.92307
Angola,45.4147601334516,0.0322900004684925,44.99,2.0,67.37347427,0.373669,40.2177899448233,1478.0,44.8,72.4000015258789,9.91084957122803,0.02,23.4714139423334,2024.0,Angola,156.0,0.41487,0.2192,0.39624,0.47602,0.37238
Antigua and Barbuda,0.491266592127263,NONE,7.02,5.0,197.3825359,10.6818,803.720690985469,75.0,77.6,99.0,24.93044090271,0.7,0.0,2024.0,Antigua and Barbuda,105.0,0.64282,0.3425,0.41658,0.71757,0.79426
Argentina,15.2012582416621,0.549470007419586,9122.18,406.0,132.3578095,25.3581,5451.20150353984,248239.0,89.2,97.0,107.047912597656,0.03,5.44959440578319,2024.0,Argentina,42.0,0.85733,0.6301,0.79649,0.93298,0.84254
Armenia,18.8731728802376,0.181150004267693,655.3,40.0,135.2539805,18.5458,1166.53850011702,3489.0,80.0,100.0,61.1857986450195,9.78,22.0274064686637,2024.0,Armenia,48.0,0.84217,0.8493,0.7922,0.8561,0.87824
Australia,3.2416431736305,1.8550900220871,62305.03,2966.0,107.0312028,36.4146,47567.6309507787,1268103.0,97.1,NONE,106.240760803223,0.7,25.1586416457084,2024.0,Australia,8.0,0.9577,0.863,0.92219,1.0,0.95092
Austria,12.6919247443816,3.20047998428345,14537.08,1872.0,123.4348071,29.6478,42281.0014410145,386100.0,94.9,NONE,94.5116882324219,4.88,15.9232697881169,2024.0,Austria,22.0,0.90653,0.7808,0.83829,0.90028,0.98096
Azerbaijan,2.20769612616225,0.181779995560646,1174.57,119.0,106.8548072,20.8825,549.736368813028,5582.0,89.0,100.0,41.3907585144043,0.07,2.91095088102775,2024.0,Azerbaijan,74.0,0.76073,0.4932,0.73863,0.72329,0.82034
Bahamas,NONE,NONE,17.75,4.0,98.53872346,23.8163,6434.00761065492,2570.0,94.8,NONE,14.3343200683594,0.71,0.0138247645369376,2024.0,Bahamas,83.0,0.71434,0.3151,0.54021,0.73762,0.86522
