Country,Adult Literacy Rate,ICT Service Exports,R&D Expenditure,Journal Articles,Patent Applications,Mobile Subscriptions,Fixed Broadband Subscriptions,Secure Internet Servers (per million),Secure Internet Servers (alt),Internet Users,ICT Goods Imports,High-Tech Exports,Tertiary Education Enrollment
Aruba,0.661532629582052,NONE,NONE,1.0,132.3496283,17.4862,1397.18141935003,150.0,97.2,97.9899978637695,17.5637798309326,0.65,6.86800836378335
Africa Eastern and Southern,6.10657347896149,0.586779089135084,32147.61,NONE,81.3,1.0,1307.52708656635,NONE,NONE,73.2751083374023,8.89552021026611,0.455777034048317,5.80516538196113
Afghanistan,7.82851624017411,NONE,169.19,NONE,56.55443457,0.0800873,43.758544404586,1814.0,17.7,37.0,10.8584403991699,0.01,0.0
Africa Western and Central,5.69176863421842,0.151699395451419,16427.93,NONE,100.8,0.5,37.7994765117027,NONE,NONE,60.5055503845215,10.3955497741699,0.0231804797782974,3.24228643681395
Angola,45.4147601334516,0.0322900004684925,44.99,2.0,67.37347427,0.373669,40.2177899448233,1478.0,44.8,72.4000015258789,9.91084957122803,0.02,23.4714139423334
Albania,3.01397608748124,0.154119998216629,238.59,23.0,97.88570679,22.472,1220.33290943972,3351.0,83.1,98.5,64.7293472290039,0.01,0.682326849473647
Andorra,4.34892555438222,NONE,9.6,3.0,142.2141211,51.7401,14618.5811813595,1182.0,95.4,NONE,64.2772369384766,12.56,21.4346319155008
Arab World,NONE,0.707917411033688,107804.99,NONE,102.925568544421,11.9963102299597,220.1103280078,NONE,NONE,76.1542587280273,35.126350402832,3.75133821557177,5.52686482765502
United Arab Emirates,NONE,1.49468994140625,6401.84,69.0,212.2208173,37.0968,2119.66117852284,22222.0,100.0,98.0,61.3456115722656,8.45,9.61865772738817
Argentina,15.2012582416621,0.549470007419586,9122.18,406.0,132.3578095,25.3581,5451.20150353984,248239.0,89.2,97.0,107.047912597656,0.03,5.44959440578319
Armenia,18.8731728802376,0.181150004267693,655.3,40.0,135.2539805,18.5458,1166.53850011702,3489.0,80.0,100.0,61.1857986450195,9.78,22.0274064686637
American Samoa,NONE,0.395520001649857,NONE,NONE,3.904487558,NONE,462.953220681383,22.0,0.0,97.0,19.5736408233643,NONE,NONE
Antigua and Barbuda,0.491266592127263,NONE,7.02,5.0,197.3825359,10.6818,803.720690985469,75.0,77.6,99.0,24.93044090271,0.7,0.0
Australia,3.2416431736305,1.8550900220871,62305.03,2966.0,107.0312028,36.4146,47567.6309507787,1268103.0,97.1,NONE,106.240760803223,0.7,25.1586416457084
Austria,12.6919247443816,3.20047998428345,14537.08,1872.0,123.4348071,29.6478,42281.0014410145,386100.0,94.9,NONE,94.5116882324219,4.88,15.9232697881169
Azerbaijan,2.20769612616225,0.181779995560646,1174.57,119.0,106.8548072,20.8825,549.736368813028,5582.0,89.0,100.0,41.3907585144043,0.07,2.91095088102775
Burundi,3.86860273478797,0.213119998574257,27.99,2.0,57.96130144,0.0203441,10.2999024796467,141.0,11.1,75.5400009155273,6.2220401763916,0.1,1.11792409166671
Belgium,14.1600401144108,3.40544009208679,17612.3,799.0,101.8707731,43.7026,33643.2314340463,396567.0,94.6,NONE,83.5736465454102,1.64,18.6668227645892
Benin,2.83190861719933,NONE,413.69,NONE,108.9652901,0.170838,12.4016425727555,175.0,32.2,47.0999984741211,10.647970199585,0.05,4.41801513975982
Burkina Faso,15.1575780444903,0.251260012388229,411.23,2.0,111.6631328,0.0669065,22.583386549057,520.0,17.0,34.4900016784668,10.1689100265503,0.01,3.79784659837351
Bangladesh,10.0420735251627,NONE,7056.17,74.0,105.2642491,7.51447,388.168008314603,66558.0,44.5,76.0,23.7743072509766,0.05,0.307867105131918
Bulgaria,23.8839775551161,0.754209995269775,4784.13,165.0,117.4346239,36.0803,54104.3676383629,348789.0,80.4,98.4199981689453,84.1293563842773,3.31,12.0578944173221
Bahrain,8.59334863170875,0.101159997284412,671.6,3.0,145.4432145,17.0462,5578.10456045081,8797.0,100.0,98.0,71.9592971801758,0.68,0.387343644517371
"Bahamas, The",NONE,NONE,17.75,4.0,98.53872346,23.8163,6434.00761065492,2570.0,94.8,NONE,14.3343200683594,0.71,0.0138247645369376
Bosnia and Herzegovina,13.0524690363778,0.192279994487762,1039.36,53.0,117.8877485,28.5064,5345.87433317855,17027.0,83.4,98.3000030517578,44.9843902587891,0.24,4.96705366555243
Belarus,31.4053956639542,0.578429996967316,1519.37,276.0,123.4472552,35.0932,11946.8772968583,109652.0,91.5,100.0,67.0620422363281,1.09,6.01576846359853
Belize,10.0270257343873,NONE,17.74,1.0,65.9948854,9.75386,405693.422134437,166783.0,72.4,90.9160385131836,22.705150604248,0.14,0.0
Bermuda,2.77233638086432,0.22545999288559,NONE,NONE,105.9437563,35.5805,5718.87848156048,370.0,98.4,NONE,16.992130279541,2.5,14.9372818212848
