Country,Access & Connectivity,Digital Governance Participation,Digital Trade Economy,Education Human Capital,Infrastructure Security,Innovation R&D,Composite Index
China,0.2276259670816091,0.18046517684598445,0.06522296684170382,0.034892357465754954,0.16562704573467402,0.07579070788752887,0.7496242218572552
Israel,0.1826631733866319,0.16049974652824595,0.10068516791029679,0.07914854815478992,0.18357742642447836,0.03422736789321502,0.740801430297658
Singapore,0.18705657753956378,0.19413502269560923,0.07073705529831377,0.050446753223510256,0.19264317158611743,0.03525611640461461,0.730274696747729
Iceland,0.1899111484192318,0.1939046959687205,0.07038362061617946,0.048555878829120484,0.19961276040653045,0.025178939674232834,0.7275470439140155
Denmark,0.20696322720186502,0.19863000000000003,0.0738242301538225,0.019593883701616275,0.19944576040653045,0.02715091230939621,0.7256080137732306
Estonia,0.21596016914673832,0.19454174598894436,0.05403624666808077,0.03191576684802411,0.18995685382203487,0.03425054770484312,0.7206613301786655
United States of America,0.19142406468804898,0.18718437463484788,0.08014443421372283,0.024535867669728883,0.18859173402530005,0.047150342737316234,0.719030817968965
United Kingdom,0.19864774458606327,0.19422530493011553,0.07190035940296996,0.030220156532916532,0.1934665675208131,0.0305383502977286,0.7189984832706069
Germany,0.20913281967934483,0.19203214507213162,0.07357667841652114,0.022748132101139715,0.18533121321223922,0.032226373787804304,0.7150473622691809
Switzerland,0.21736978140926894,0.17270840366725093,0.07429622897537302,0.03191088200307711,0.1928377654881609,0.025665689409776555,0.7147887509529075
Netherlands,0.20402026439917223,0.18967824592153165,0.0680690192919292,0.026177181398223417,0.19390740609795656,0.02581081893067216,0.7076629360394853
Ireland,0.17641836099274913,0.18380620106961484,0.046151926465797515,0.08366330408162742,0.19220280711428264,0.023089905052603263,0.7053325047766748
Finland,0.18485488657416527,0.18597496921486678,0.08395812738616053,0.0316611455005982,0.1908812132122392,0.027513535096061345,0.7048438769840913
Sweden,0.19790674902610444,0.1735940834119815,0.0799742159485769,0.031052820044896786,0.19402984874040438,0.027087587236281747,0.7036453044082458
Japan,0.1926212061942753,0.1930527225742663,0.07122309204890954,0.01826297041546591,0.18103542642447834,0.04337999098429392,0.6995754086416893
Norway,0.20981897142055222,0.18032161700597726,0.06309208496898627,0.026946932449755812,0.1954578020326522,0.02263761185469447,0.6982750197326183
United Arab Emirates,0.21099819965046138,0.1745453274010157,0.04589051342976715,0.015909818670655385,0.2,0.0503559614511671,0.6976998206030667
Saudi Arabia,0.22664535858269985,0.19313506763740956,0.039895470489509005,0.003244656685479415,0.19841100000000003,0.029306502381375995,0.6906380557764739
Spain,0.21519392955132993,0.1736135823109074,0.0601516491704904,0.01648121470575555,0.19105748935020006,0.029307057057755548,0.6858049221464388
Malta,0.22281001601591283,0.16316823828142557,0.04259256341415279,0.03510707728405414,0.18892453605795223,0.02768469940420394,0.6802871304577015
Australia,0.18747096088888143,0.18326193429508789,0.07069546052673728,0.022240878547424334,0.19195652589469134,0.024309498564195828,0.6799352587170181
Cyprus,0.21741313984947414,0.15605500247179904,0.05325395339560688,0.03891677504689488,0.1798914578873392,0.03250793083980335,0.6780382594909174
France,0.21695760715909296,0.16842505145836145,0.05966392084051245,0.02460883659151732,0.17800918683100878,0.027783923648437098,0.6754485265289301
Greece,0.21972828628634006,0.1539329522268662,0.09341934287604933,0.01396256427424241,0.1703500304897827,0.022247431918241672,0.6736406080715224
Austria,0.1711221876409858,0.1692927544829446,0.08218227672198068,0.02268050810458934,0.19258189036652615,0.02619926893061278,0.6640588862476393
Uruguay,0.20146751228902066,0.17684536874747203,0.04185554291451868,0.02322424736057943,0.18345390052978705,0.029632530835919324,0.6564791026772971
Canada,0.2038047547677789,0.17609755876140398,0.05569224929861163,0.023841308422396748,0.1742948121959131,0.020305251707285588,0.65403593515339
New Zealand,0.18964707663995722,0.18661096804637994,0.05261400314409935,0.01597915721397672,0.18317244772407829,0.023479304586759796,0.6515029573552513
Slovenia,0.20215316391897037,0.16585021257471577,0.06290591194008466,0.01313785986394283,0.18069249951346095,0.026379241896368744,0.6511188897075434
Lithuania,0.1928934058969335,0.1752794732820997,0.04742254450505308,0.01996567266028262,0.18387522337550008,0.029917125666146918,0.6493534453860158
Serbia,0.1988408074543703,0.1752316318367714,0.044457394531601635,0.024777671554724896,0.17642050967672185,0.025769130571801552,0.6454971456259916
