Country,Secure Internet Servers (per million),Secure Internet Servers (alt),Telecommunication Infrastructure Index
Afghanistan,1814.0,17.7,0.21672
Albania,3351.0,83.1,0.77497
Algeria,4630.0,76.9,0.8129
Andorra,1182.0,95.4,0.92307
Angola,1478.0,44.8,0.37238
Antigua and Barbuda,75.0,77.6,0.79426
Argentina,248239.0,89.2,0.84254
Armenia,3489.0,80.0,0.87824
Australia,1268103.0,97.1,0.95092
Austria,386100.0,94.9,0.98096
Azerbaijan,5582.0,89.0,0.82034
Bahamas,2570.0,94.8,0.86522
Bahrain,8797.0,100.0,0.98773
Bangladesh,66558.0,44.5,0.6501
Barbados,299.0,80.0,0.7624
Belarus,109652.0,91.5,0.91561
Belgium,396567.0,94.6,0.86984
Belize,166783.0,72.4,0.52917
Benin,175.0,32.2,0.48171
Bhutan,965.0,88.4,0.81695
Bolivia,3999.0,70.2,0.7089
Bosnia and Herzegovina,17027.0,83.4,0.77628
Botswana,1094.0,81.4,0.86495
Brazil,1188440.0,84.2,0.80685
Brunei Darussalam,4027.0,99.0,0.9868
Bulgaria,348789.0,80.4,0.91707
Burkina Faso,520.0,17.0,0.36402
Burundi,141.0,11.1,0.03305
Cabo Verde,497.0,73.5,0.61278
Cambodia,3889.0,60.7,0.76094
Cameroon,484.0,41.9,0.37004
Canada,1706155.0,94.0,0.80782
Central African Republic,13.0,7.51,0.0
Chile,241803.0,94.5,0.94553
China,2127874.0,77.5,0.89954
Colombia,58030.0,77.3,0.80654
Comoros,16.0,35.7,0.35368
Costa Rica,9990.0,85.4,0.89327
Croatia,113558.0,83.2,0.91799
Cuba,1866.0,71.3,0.53183
Cyprus,749386.0,91.2,0.89406
Czech Republic,870775.0,86.0,0.92043
Democratic Republic of the Congo,934.0,30.5,0.15906
Denmark,1553715.0,99.8,0.99662
Djibouti,73.0,65.0,0.38402
Dominica,4424.0,83.8,0.67566
Dominican Republic,2453.0,84.6,0.7444
Ecuador,8546.0,77.2,0.68335
Egypt,6105.0,72.7,0.69456
El Salvador,1147.0,67.7,0.75264
Eritrea,1.0,20.0,0.14054
Estonia,153779.0,93.2,0.97309
Eswatini,172.0,57.6,0.78511
Ethiopia,2248.0,16.7,0.26592
Fiji,212.0,79.3,0.75067
Finland,859188.0,93.5,0.97909
France,3556589.0,86.8,0.92281
Gabon,107.0,71.9,0.8263
Gambia,141.0,45.9,0.38766
Georgia,19513.0,81.9,0.90713
Germany,11657953.0,93.5,0.92359
Ghana,1627.0,69.9,0.72814
Greece,148068.0,85.0,0.86568
Grenada,72.0,74.1,0.67674
Guatemala,1979.0,56.1,0.58427
Guinea,151.0,26.5,0.4323
Guinea-Bissau,14.0,32.5,0.49023
Guyana,84.0,81.7,0.69418
Haiti,86.0,39.3,0.20874
Honduras,1471.0,58.3,0.47992
Hungary,515271.0,91.5,0.82821
Iceland,33593.0,99.8,0.99829
India,1389294.0,55.9,0.57004
Indonesia,765509.0,69.2,0.86448
Iran,597959.0,79.6,0.89869
Iraq,1967.0,81.7,0.68736
Ireland,796381.0,96.5,0.95987
Israel,127299.0,87.0,0.97633
Italy,1783922.0,87.0,0.90167
Jamaica,542.0,83.4,0.72963
Japan,3947391.0,87.0,0.95091
Jordan,2093.0,92.5,0.64992
Kazakhstan,118202.0,92.9,0.92353
Kenya,16443.0,35.0,0.59015
Kiribati,3.0,88.0,0.35438
Kuwait,1871.0,99.7,0.99883
Kyrgyzstan,5796.0,88.5,0.88154
Laos,2101.0,63.6,0.53382
Latvia,49133.0,92.2,0.96597
Lebanon,3903.0,83.5,0.64246
Lesotho,206.0,48.0,0.46427
Liberia,51.0,23.5,0.12379
Libya,820.0,88.5,0.9639
Lithuania,278256.0,88.5,0.96309
Luxembourg,40306.0,98.8,0.98876
Madagascar,692.0,20.4,0.15178
Malawi,584.0,18.0,0.18862
Malaysia,283909.0,97.7,0.98618
Maldives,651.0,84.7,0.78856
Mali,334.0,35.1,0.44323
Malta,2666.0,92.1,0.97466
Mauritania,174.0,37.4,0.58239
Mauritius,3110.0,79.5,0.91586
Mexico,53468.0,81.2,0.83101
Moldova,28328.0,80.2,0.8118
Mongolia,8197.0,83.0,0.93741
Montenegro,1385.0,89.8,0.92291
Morocco,21406.0,91.0,0.88273
Mozambique,1248.0,19.8,0.06321
Myanmar,1092.0,58.5,0.66618
Namibia,1154.0,64.4,0.72879
Nepal,19082.0,55.8,0.76529
Netherlands,3485374.0,97.0,0.97151
New Zealand,98767.0,96.2,0.87281
Nicaragua,706.0,58.2,0.58512
Niger,124.0,23.2,0.15783
Nigeria,10847.0,39.2,0.48355
North Macedonia,3396.0,87.2,0.75459
Norway,208172.0,99.0,0.96539
Oman,1411.0,95.3,0.96739
Pakistan,28057.0,27.4,0.47453
Palau,24.0,27.0,0.49096
Panama,11687.0,78.0,0.8523
Papua New Guinea,897.0,24.1,0.18513
Paraguay,4402.0,78.1,0.79468
Peru,25376.0,79.5,0.83638
Philippines,35099.0,83.8,0.75544
Poland,1369941.0,86.4,0.96034
Portugal,305997.0,85.8,0.89791
Qatar,1194.0,99.7,0.99634
Republic of the Congo,115.0,38.4,0.27758
Romania,511496.0,89.2,0.89224
Russia,3394814.0,92.2,0.95118
Rwanda,1802.0,34.2,0.37235
Saint Kitts and Nevis,385.0,76.4,0.86745
Saint Lucia,126.0,70.1,0.6498
Saint Vincent and the Grenadines,17.0,76.0,0.67675
Samoa,134.0,58.1,0.46065
Sao Tome and Principe,9.0,61.5,0.48394
Saudi Arabia,14342.0,100.0,0.98411
Senegal,835.0,60.6,0.73285
Serbia,83769.0,85.4,0.92206
Seychelles,6301.0,87.4,0.89126
Sierra Leone,113.0,20.6,0.25851
Singapore,1353061.0,94.3,0.98806
Slovakia,216592.0,89.8,0.89851
Slovenia,135664.0,90.4,0.91072
Solomon Islands,63.0,42.5,0.18109
South Africa,934721.0,75.7,0.89512
Spain,1389353.0,95.4,0.96031
Sri Lanka,10630.0,51.2,0.79359
Sudan,107.0,26.4,0.43922
Suriname,873.0,78.4,0.87141
Sweden,558403.0,95.7,0.98679
Switzerland,1454404.0,97.3,0.95757
Syria,2201.0,34.7,0.44256
Tajikistan,1286.0,56.8,0.58098
Tanzania,3503.0,29.1,0.37921
Thailand,215289.0,89.5,0.94101
Timor-Leste,333.0,34.0,0.35506
Togo,851.0,37.0,0.24736
Tonga,92.0,58.5,0.47841
Trinidad and Tobago,586.0,84.7,0.77454
Tunisia,9984.0,72.4,0.83566
Turkmenistan,1022.0,21.3,0.51512
Uganda,2512.0,15.3,0.2299
Ukraine,373112.0,82.4,0.84278
United Arab Emirates,22222.0,100.0,1.0
United Kingdom,3243401.0,96.3,0.97467
United States of America,62879335.0,93.1,0.96052
Uruguay,14749.0,89.9,0.94374
Uzbekistan,29373.0,89.0,0.87687
Vanuatu,524.0,45.7,0.61652
Venezuela,6324.0,61.6,0.53905
Viet Nam,527482.0,78.1,0.87797
Yemen,274.0,13.8,0.29045
Zambia,1139.0,33.0,0.5088
Zimbabwe,1460.0,38.4,0.39471
