"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5343.78251636869","5410.08165403097","5436.04914971161","5584.81345977634","5498.8978694626","5746.20838370241","6130.32790551615","6094.2076821748","6777.70190840899","7229.67072358123","8028.56003540229","8499.3421312698","8918.09969792829","9986.74143008883","10865.3778012311","11759.097192885","12813.96","13788.03","14981.82","16096.75","17736.93","19423.29","20808.34","23744.2","26673.16","29748.14","32147.61","","",
"Afghanistan","AFG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.13","0","2.73","0.67","4","1","5.5","7.34","6.75","9.15","13.86","14.23","12.5","26.14","27.68","41.62","34.65","27.31","35.01","21.19","59.55","72.4","90.34","139.36","145.71","177.39","169.19","","",
"Africa Western and Central","AFW","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1644.63453959234","1760.23249477238","1786.24430323058","1834.9538675682","1776.33218222457","1868.87534834432","2095.6","2329.83","2524.39","2966.44","3235.49","3510.25","3749.59","4459.39","4841.57","5326.41","5198.13","5346.36","6056.44","6326.3","7091.34","7951.93","9461.42","11283.85","13262.46","15600.59","16427.93","","",
"Angola","AGO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95","7.33","4.11","3.93","6.08","9.58","16.13","5.89","9.73","10.04","12.57","10.16","11.85","13.78","14.68","17.78","21.3","23.85","34.57","32.12","37.81","55.13","29.7","36.39","48.51","42.35","44.99","","",
"Albania","ALB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.82","26.52","31.89","23.84","22.34","18.38","24.53","22.68","17.91","25.77","26.35","41.9","52.48","68.72","124.83","140.71","150.63","148.81","154.14","159.48","165.44","133.42","170.56","203.1","167.16","241.09","238.59","","",
"Andorra","AND","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0.87","2.08","0","0","2.64","0.5","4.7","1.31","4.93","5.02","6.23","1.68","2.55","1.2","0.88","4.53","5.26","4.18","7.96","7.83","1.67","3.19","5.41","8.14","9.44","9.6","","",
"Arab World","ARB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7023.40986464853","7411.8807431584","7911.83622294394","7919.37721059639","8731.41356399869","9431.9593851907","9809.14174472403","11215.5090912889","12028.6217755129","12967.4423044422","14635.5553896822","16099.580968969","18419.92","21842.44","24361.41","27347.11","31112.57","34224.99","36837.68","39907.31","45310.22","48844.78","55701.93","67135.88","76668.96","93956.92","107804.99","","",
"United Arab Emirates","ARE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","294.31","282.44","320.66","247.78","324.89","376.47","393.49","546.62","563.1","718.77","835.69","788.38","906.71","1044.34","1264.69","1423.22","1607.36","1763.04","1814.55","2314.25","2562.72","2866.45","3080.82","4137.79","4467.88","5266.62","6401.84","","",
"Argentina","ARG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3385.12","3768.19","3724.97","4017.86","4231.85","4356.17","4681.53","4484.81","4604.3","4883.23","5574.16","5682.94","6229.5","6819.11","7153.65","7625.07","7803.52","7945.07","8330.4","8393.72","8601.99","8793.98","9234.47","9223.65","9999.61","9980.73","9122.18","","",
