Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
2024,"Iraq ",148,0.45721,0.09590,0.18755,0.49672,0.68736
2024,"Ireland ",20,0.91377,0.91780,0.87678,0.90460,0.95987
2024,"Israel ",23,0.90143,0.69860,0.85412,0.87390,0.97633
2024,"Italy ",51,0.83557,0.65750,0.76239,0.84262,0.90167
2024,"Jamaica ",96,0.66777,0.43840,0.56772,0.70600,0.72963
2024,"Japan ",13,0.93510,0.98630,0.94274,0.91170,0.95091
2024,"Jordan ",89,0.68493,0.61640,0.75905,0.64579,0.64992
2024,"Kazakhstan ",24,0.90093,0.84930,0.93903,0.84029,0.92353
2024,"Kenya ",109,0.63140,0.52050,0.77704,0.52711,0.59015
2024,"Kiribati ",147,0.45723,0.32880,0.39035,0.62690,0.35438
2024,"Kuwait ",66,0.78120,0.30140,0.63655,0.70830,0.99883
2024,"Kyrgyzstan ",78,0.73160,0.46580,0.60723,0.70610,0.88154
2024,"Lao People's Democratic Republic ",152,0.44038,0.28770,0.32648,0.46084,0.53382
2024,"Latvia ",29,0.88522,0.78080,0.80915,0.88047,0.96597
2024,"Lebanon ",126,0.54490,0.46580,0.44894,0.54329,0.64246
2024,"Lesotho ",157,0.41229,0.20550,0.28637,0.48617,0.46427
2024,"Liberia ",182,0.25133,0.16440,0.26335,0.36690,0.12379
2024,Libya,125,0.54662,0.01370,0.08076,0.59515,0.96390
2024,Liechtenstein,44,0.85284,0.65750,0.74157,0.82631,0.99064
2024,"Lithuania ",21,0.91104,0.83560,0.88390,0.88613,0.96309
2024,Luxembourg,45,0.84658,0.63010,0.75554,0.79548,0.98876
2024,"Madagascar ",168,0.32346,0.30140,0.40447,0.41409,0.15178
2024,"Malawi ",163,0.37534,0.45210,0.46247,0.47493,0.18862
2024,Malaysia,57,0.81114,0.69860,0.72796,0.71921,0.98618
2024,Maldives,94,0.67453,0.47950,0.62201,0.61298,0.78856
2024,"Mali ",173,0.30053,0.27400,0.33340,0.12498,0.44323
2024,"Malta ",28,0.88860,0.73970,0.87492,0.81620,0.97466
2024,"Marshall Islands ",143,0.48229,0.32880,0.35858,0.78356,0.30473
2024,"Mauritania ",165,0.34912,0.12330,0.16879,0.29615,0.58239
2024,Afghanistan,188,0.20827,0.10960,0.14379,0.26430,0.21672
2024,"Mauritius ",76,0.75061,0.41100,0.59032,0.74564,0.91586
2024,"Mexico ",65,0.78499,0.73970,0.76366,0.76027,0.83101
2024,"Micronesia (Federated States of) ",167,0.32352,0.13700,0.26211,0.57346,0.13502
2024,"Monaco ",82,0.71747,0.15070,0.48377,0.75150,0.91711
2024,"Mongolia ",46,0.84569,0.78080,0.82219,0.77748,0.93741
2024,Montenegro,81,0.72111,0.50680,0.52142,0.71904,0.92291
2024,"Albania ",62,0.80000,0.72600,0.81441,0.81059,0.77497
2024,"Algeria ",116,0.59556,0.05480,0.33200,0.64179,0.81290
2024,"Andorra ",88,0.68931,0.54790,0.47804,0.66684,0.92307
2024,"Angola ",156,0.41487,0.21920,0.39624,0.47602,0.37238
2024,"Antigua and Barbuda ",105,0.64282,0.34250,0.41658,0.71757,0.79426
2024,"Argentina ",42,0.85733,0.63010,0.79649,0.93298,0.84254
2024,"Armenia ",48,0.84217,0.84930,0.79220,0.85610,0.87824
2024,"Morocco ",90,0.68411,0.43840,0.56184,0.60783,0.88273
2024,"Mozambique ",177,0.28476,0.20550,0.39591,0.39519,0.06321
2024,"Myanmar ",138,0.50007,0.16440,0.32594,0.50812,0.66618
2024,"Namibia ",114,0.60074,0.27400,0.49958,0.57382,0.72879
2024,"Nauru ",151,0.44544,0.23290,0.24387,0.50612,0.58634
2024,"Dominica ",127,0.54452,0.30140,0.37983,0.57807,0.67566
2024,"Dominican Republic ",85,0.70127,0.65750,0.64047,0.71890,0.74440
2024,"Ecuador ",67,0.77997,0.87670,0.88507,0.77150,0.68335
2024,"Egypt ",95,0.66994,0.58900,0.70016,0.61503,0.69456
2024,"El Salvador ",115,0.59880,0.38360,0.50897,0.53479,0.75264
2024,"Equatorial Guinea ",176,0.28554,0.23290,0.19319,0.41021,0.25320
2024,"Eritrea ",190,0.15762,0.01370,0.00000,0.33237,0.14054
2024,"Estonia ",2,0.97274,0.95890,0.99535,0.94972,0.97309
2024,"Nepal ",119,0.57813,0.21920,0.44806,0.52100,0.76529
2024,"Netherlands ",10,0.95384,0.93150,0.92118,0.96881,0.97151
2024,"New Zealand ",16,0.92654,0.93150,0.94530,0.96152,0.87281
2024,"Nicaragua ",132,0.53181,0.23290,0.44927,0.56102,0.58512
2024,"Niger ",187,0.21157,0.20550,0.30839,0.16851,0.15783
2024,"Nigeria ",144,0.48146,0.36990,0.53719,0.42357,0.48355
2024,"Norway ",15,0.93153,0.86300,0.91172,0.91748,0.96539
2024,"Oman ",41,0.85759,0.65750,0.80774,0.79767,0.96739
2024,"Pakistan ",136,0.50955,0.49320,0.70417,0.34996,0.47453
2024,"Palau ",137,0.50724,0.30140,0.27867,0.75203,0.49096
2024,"Panama ",79,0.72981,0.52050,0.65049,0.68663,0.85230
2024,"Papua New Guinea ",171,0.30756,0.19180,0.33920,0.39838,0.18513
2024,"Paraguay ",80,0.72507,0.60270,0.67115,0.70932,0.79468
2024,"Peru ",58,0.80700,0.75340,0.83770,0.74690,0.83638
2024,"Philippines ",73,0.76212,0.72600,0.80543,0.72556,0.75544
2024,"Poland ",37,0.86480,0.75340,0.80371,0.83039,0.96034
2024,"Portugal ",49,0.84153,0.64380,0.78775,0.83888,0.89791
2024,"Qatar ",53,0.82438,0.47950,0.76549,0.71135,0.99634
2024,"Republic of Korea ",4,0.96789,0.97260,1.00000,0.91198,0.99170
2024,"Republic of Moldova ",70,0.77195,0.72600,0.72636,0.77764,0.81180
2024,"Romania ",72,0.76364,0.68490,0.65477,0.74392,0.89224
2024,"Russian Federation ",43,0.85325,0.64380,0.77660,0.83194,0.95118
2024,"Australia ",8,0.95770,0.86300,0.92219,1.00000,0.95092
2024,Austria,22,0.90653,0.78080,0.83829,0.90028,0.98096
2024,"Azerbaijan ",74,0.76073,0.49320,0.73863,0.72329,0.82034
2024,"Bahamas ",83,0.71434,0.31510,0.54021,0.73762,0.86522
2024,"Chad ",189,0.17853,0.31510,0.26738,0.14879,0.11945
2024,"Chile ",31,0.88266,0.83560,0.86119,0.84129,0.94553
2024,"China ",35,0.87184,0.93150,0.92576,0.79023,0.89954
2024,"Bahrain ",18,0.91958,0.90410,0.90305,0.86804,0.98773
2024,"Bangladesh ",100,0.65696,0.61640,0.73744,0.58337,0.65010
2024,"Barbados ",91,0.68150,0.32880,0.49755,0.78450,0.76240
2024,"Belarus ",77,0.74449,0.49320,0.57598,0.74188,0.91561
2024,"Belgium ",56,0.81212,0.50680,0.72244,0.84416,0.86984
2024,"Belize ",141,0.48719,0.23290,0.40545,0.52698,0.52917
2024,"Benin ",146,0.45779,0.36990,0.52016,0.37146,0.48171
2024,"Bhutan ",103,0.65110,0.49320,0.58862,0.54781,0.81695
2024,"Bolivia ",99,0.66508,0.42470,0.59869,0.68765,0.70890
2024,"Bosnia and Herzegovina ",107,0.63293,0.54790,0.50028,0.62219,0.77628
2024,"Botswana ",112,0.61178,0.27400,0.39852,0.57194,0.86495
2024,"Djibouti ",174,0.29105,0.09590,0.20915,0.27996,0.38402
2024,"Brazil ",50,0.84026,0.86300,0.90631,0.80768,0.80685
2024,"Brunei Darussalam ",75,0.75536,0.46580,0.58020,0.69909,0.98680
2024,"Bulgaria ",55,0.81453,0.67120,0.77271,0.75378,0.91707
2024,"Burkina Faso ",175,0.28946,0.21920,0.33764,0.16677,0.36402
